ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 CT OF APPEALS JUDGE (BIGGS)   	 Loretta C. Biggs              	 DEM	  1494	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 CT OF APPEALS JUDGE (BIGGS)   	 Sanford L. Steelman, Jr.      	 REP	  2853	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 CT OF APPEALS JUDGE (BRYANT)  	 Ann Marie Calabria            	 REP	  2836	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 CT OF APPEALS JUDGE (BRYANT)  	 Wanda G. Bryant               	 DEM	  1504	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 CT OF APPEALS JUDGE (CAMPBELL)	 Eric Levinson                 	 REP	  2771	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 CT OF APPEALS JUDGE (CAMPBELL)	 Hugh Brown Campbell, Jr.      	 DEM	  1546	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 CT OF APPEALS JUDGE (THOMAS)  	 Bill Constangy                	 REP	  2773	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 CT OF APPEALS JUDGE (THOMAS)  	 Martha Geer                   	 DEM	  1557	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 CT OF APPEALS JUDGE (WALKER)  	 George R. Barrett             	 DEM	  1488	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 CT OF APPEALS JUDGE (WALKER)  	 Rick Elmore                   	 REP	  2931	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 D CT JUDGE(15A) (ALLEN)       	 Brad Allen                    	    	  2565	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 D CT JUDGE(15A) (ALLEN)       	 David Barber                  	    	  1512	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 DISTRICT ATTORNEY (15A)       	 Robert F. (Rob) Johnson       	 DEM	  2748	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 NC HOUSE (63)                 	 Alice Bordsen                 	 DEM	   865	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 NC HOUSE (63)                 	 Robert E. (Rob) Sharpe, Jr.   	 REP	  1226	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 NC HOUSE (64)                 	 Cary D. Allred                	 REP	  2008	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 NC SENATE  (24)               	 Bill Powell                   	 DEM	  1514	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 NC SENATE  (24)               	 Hugh Webster                  	 REP	  3207	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 SUPERIOR COURT JUDGE (15A)    	 J. B. Allen, Jr.              	    	  3170	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 SUPERIOR COURT JUDGE (15A)    	 James C. (Jack) Spencer, Jr.  	    	  1875	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 SUPREME COURT (BUTTERFIELD)   	 Edward Thomas Brady           	 REP	  3085	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 SUPREME COURT (BUTTERFIELD)   	 G. K. Butterfield             	 DEM	  1409	 2002-11-20 13:31:36.310
ALAMANCE    	 11/05/2002	       	 absentee/provisional                         	 SUPREME COURT (ORR)           	 Bob Hunter                    	 DEM	  1458	 2002-11-20 13:31:36.310
